,full_text
4419,sorry left my caps on
4420,flywheel thickness and diameter
4421,yeah
4422,I mass now at  2   77   all my numbers are at their minimum
4423,Flywheel shaft diameter and thickness  piston bore diameter
4424,great  thanks 
4425,Are you broadcasting that ? 
4426,Only the loest matters  so there s no need for anything above  2 
4427,hahaha
4428,Mass is now  0   1 
4429,Okay try and change bearingoffset
4430,What s your mass ? 
4431,What s your mass ? 
4432,Mass is now  0   1 
4433,I can adjust thickness to have a required factorofsafety at a specific pistonborediameter
4434,I control thickness of the connecting rod and ratio of connection rod length to crankshaft length
4435, 1   2 
4436, 3   2   but that s about to decrease since my mass is way too high
4437,hmm i reverted to previous dimensions
4438,Can you set the piston bore diameter to  85  and get a good factorofsafety ? 
4439,we just need our factorofsafety to be more than  2   ? 
4440,Aiming for a factorofsafety slightly above  2  will let us minimize mass and have a shot at the  very good  or  excellent  marks  is there anything you need from me ? 
4441, 2880 
4442, 6   72 
4443,we need factorofsafety up a bit more now overall
4444,Ok  I mass at mass  equals to   1   01   and factorofsafety  equals to   2   03 
4445,Yeah  factorofsafety hasn t been an issue for me  it s just mass is way too high
4446,is your factorofsafety still  2   01   ? 
4447,Ok  seems like  85  is good for pistonborediameter then
4448,or is it each case by case for each part  ? 
4449,That s alright  as long as we have a factorofsafety above  2 
4450,I mass at mass  equals to   1   01   and factorofsafety  equals to   2   03 
4451,Only the lowest matters  so there s no need for anything above  2 
4452,what s your factorofsafety  ? 
4453,it is yeah
4454,whats your factorofsafety  ? 
4455, 2   01 
4456,not sure whose is  1   79 
4457,i have  1   7  factorofsafety with  58  mass
4458, 2   77 
4459,do you know if each part has a specific factorofsafety requirement  ? 
4460,whats your factorofsafety  ? 
4461,For pistonborediameter  equals to   75  and pistonborediameter  equals to   85   what are the minimum masses you can have for a factorofsafety of  2  ? 
4462,It s just updated  now mass is  3   11  and factorofsafety is  2   07 
4463,is your factorofsafety  1   79  ? 
4464,whats the pistonborediameter and t values you
4465,For pistonborediameter  equals to   75  and pistonborediameter  equals to   85   what are the minimum masses you can have for a factorofsafety of  2  ? 
4466,What is your factorofsafety ? 
4467,Right  Got mine to mass  equals to   1   01   and factorofsafety  equals to   2   03 
4468,For pistonborediameter  equals to   75  and pistonborediameter  equals to   85   what are the minimum masses you can have for a factorofsafety of  2  ? 
4469,hmm  anything I can do to help reduce your mass ? 
4470,awesome
4471,re using now ? 
4472,do you know if each part has a specific factorofsafety requirement  ? 
4473,and yes I mass broadcasting that
4474,Have you changed your values any ? 
4475,its piston pin designer
4476,Is there anything you can reduce to cut mass but keep the factorofsafety just above  2  ? 
4477,do you know if each part has a specific factorofsafety requirement  ? 
4478,Aim for factorofsafety to be above  2  while minimizing mass
4479,t  equals to   10 
4480,pistonborediameter  equals to   18 
4481,yes  as high as we can get factorofsafety the better
4482, 1   7  with bearing offset of  300 
4483,for pistonborediameter  equals to   75   mass  equals to   3   11 
4484,Good point  I could reduce my mass by   15  and the part will still be plenty strong
4485,what do they need to increase it ? 
4486,and one sec for the other one
4487,Are you broadcasting ? 
4488,even in the case by case basis  the higher the factorofsafety the better
4489,i can decrease diameter
4490,i talked to the TA and the factorofsafety of our part is just an estimate of the whole thing  In other words  that number doesn t relate to a single person t part apparently
4491,okay 
4492,Do it  Make mass as small as possible while still sitting above  2  
4493, person s
4494,not yet  might change to thickness  12  diameter  40  because my factorofsafety is huge
4495,minimum is  15  and i am at  20 
4496,We have some wiggle room in our mass now  I can try adjusting my thicknesses and see if that helps
4497,How does flywheel shaft diameter and thickness affect your mass ? 
4498,yes  an old version  I mass running the simulations you requested noe
4499,mass is currently  1   53  and factorofsafety  2   01 
4500,try and use  60  for bearingoffset
4501,We ve got a Good factorofsafety now  just need to get mass down
4502,What are your values ? 
4503, 1   48   my mass is so small im just trying to increase my factorofsafety
4504,What s your mass rn ? 
4505,okay
4506,ok let me see how that effects my design
4507,Do you have any dependencies with others measurements that could help your values ? 
4508,We ve got far too much mass at the moment overall
4509,okay
4510,What s your mass rn ? 
4511,I had factorofsafety  1   35  and mass equals to  0   93  in that run
4512,What s your mass rn ? 
4513,I did  earlier
4514,for pistonborediameter  equals to   85   min mass is  3   4 
4515,for me to have high factorofsafety i have to have high numbers
4516, 1   12 
4517,I ll try again with new parameters
4518,What is your current factorofsafety ? 
4519,oh okay
4520,might need to change something else
4521,mass  equals to   4   factorofsafety  equals to   2   4 
4522,difference of about  0   1 
4523,You re pretty solid
4524,if we can do that it cuts my mass to  1   24 
4525,what s your mass
4526,so really not much
4527,a mass of  58  for one component automatically puts us in the poor mark
4528,K  I mass at  4 
4529, 58 
4530,Is there any way you can reduce pistonborediameter ? 
4531,Check the top of the second page of the handout
4532,we need to cut down on mass
4533,Yeah  I mass leaving mine as is for now  Trying to figure out why our total mass is so high 
4534,It seems like the crankshaft is what is limiting us right now  in terms of mass and factorofsafety
4535,I think it s all coming from crankshaft  He doesnt seem to know whats going on
4536,I think it s all coming from crankshaft  He doesnt seem to know whats going on
4537,under performance requirements
4538,What is your mass ? 
4539,Yup 
4540, 7   4 
4541,mass  1   24 
4542,For pistonborediameter  equals to   75  my minimum factorofsafety is  2   85 
4543,its huge its  15886 
4544,Let me know if changing my pistonborediameter value could help improve the factorofsafety or mass
4545,We re good
4546,how did the mass increase by this much
4547,Let me know if changing my pistonborediameter value could help improve the factorofsafety or mass
4548,What is your factorofsafety and mass at currently ? 
4549,and factorofsafety ? 
4550,Let me know if changing my pistonborediameter value could help improve the factorofsafety or mass
4551,We re good 
4552, 2   01  still
4553,We ve gotta get crankshaft down  He s like all of our mass atm
4554,What other parameters do you have ?  Other than bearingoffset
4555,We re good
4556,no clue
4557,What is your factorofsafety and mass at currently ? 
4558,Ok  and your mass is pretty small  so it isn t a big deal  Mine is currently  27   44   so I mass trying to reduce it
4559,we are in excellent rn
4560,We re good
4561,okay sweet
4562,yes   75  works for me and piston
4563,what s your factorofsafety ? 
4564,Don t change anything
4565,Are your values finalized ?  I see we are at excellent now 
4566,Don t change anything
4567,The mass increased a lot
4568,Hi  what the values you are using ? 
4569,Are your values finalized ?  I see we are at excellent now 
4570,Don t change anything
4571,Are your values finalized ?  I see we are at excellent now 
4572,Don t change anything
4573,do you know why ? 
4574,We re done
4575,We re done
4576,we are tryin to cut down on mass right now
4577,We re done
4578,now its  1   67 
4579,yeet
4580,We re done
4581,We only need above  2   so try as must as you can to lower the mass
4582,i did it
4583,I adjusted my numbers  mass is now  0   16  factorofsafety is  4   66 
4584,factorofsafety  equals to   2   mass  equals to   6   72 
4585,The mass increased alot do you know why
4586,right now we need to focus on mass
4587,Ok looks like we re good
4588,actually
4589,sounds good
4590,but piston pin designer has lopw factorofsafety
4591,Don t touch anything  We re in EXCELLENT
4592,what do you need to increase it ? 
4593,Don t change anything
4594,both  becaus factorofsafety is pretty low too
4595,Don t touch anything  We re in EXCELLENT
4596,I am done
4597,Don t touch anything  We re in EXCELLENT
4598,Don t change anything
4599,Don t touch anything  We re in EXCELLENT
4600,it does increase my factorofsafety
4601,Great
4602,Yep  values finalized
4603,piston-pin s factorofsafety is lowest i beliver
4604,looks like we re good
4605,Does it look to you like we re meeting the global requirements now ? 
4606,looks like we re good
4607,that s at my minimum dimensions  I can t
4608,sounds good
4609,What is your factorofsafety right now ? 
4610,if you increase the diameter
4611,bearing is  150   pin is  50  mm
4612,Sweet 
4613,bearingoffset and dc
4614,my mass is  1   27  already
4615,Someone just screwed it up  Now we re in very good
4616,Someone just screwed it up  Now we re in very good
4617,Someone just screwed it up  Now we re in very good
4618,Someone just screwed it up  Now we re in very good
4619,what s your current factorofsafety
4620,did you try playing around with bearing offset  ? 
4621,Did your values just change ? 
4622,it says very good
4623,What s your factorofsafety ? 
4624,Wait  did you just change a value ? 
4625,mine is  29 
4626,how does dc affect mass and factor of safety
4627,i am using  60  rn
4628,I mass trying to keep dc as alow as possible to save on mass
4629,What s your factorofsafety ? 
4630,Yea  nvm we re good i think
4631,i think i changed it to excellent
4632,No
4633, 2   01 
4634, 1215 
4635,What s your factorofsafety ? 
4636,but im strugling with mass
4637,What s your factorofsafety ? 
4638,same as crankshaft
4639,Yeah  I saw that  Wondering if it s the crankshaft
4640,its  1   52  with that
4641,Did you change your broadcast ? 
4642,i changed to excellent
4643,Ok
4644,are you still updating mass ?  we were in excellent
4645,we are good on mass  Now we need to work on safety factor
4646,Did you change your broadcast ? 
4647,I haven t it increases mass and decreases factorofsafety so unless somebody needs it to change it doesn t make sense on my end
4648,are you still updating mass ?  we were in excellent
4649,We re a little above the mass but otherwise good
4650,okay
4651,You could reduce the factorofsafety value since they are looking for the component with the smallest factorofsafety value
4652,I can give a factorofsafety equals to  6  with mass  equals to   0   4 
4653,Our mass is too high again
4654, 1   67 
4655,i changed the mass from  50  to  30 
4656, 1   67 
4657,Yes  that works
4658,pretty sure its someone else
4659,yeah
4660,I don t actually
4661,Yeah for a second we were meeting both I wonder what just updated ? 
4662,I changed something but it didn t affect my mass at all
4663,what s your factorofsafety  ? 
4664, 1   67 
4665,maybe  I ll try to go back
4666,Nope things changed to the worst now
4667,hmm okay
4668,Not sure where the mass increase came from
4669,my factorofsafety is the minimum at  2   10  so anything we can do to reduce mass and stay above that factorofsafety is the last step
4670,what inputs do you control ? 
4671,my factorofsafety is the minimum at  2   10  so anything we can do to reduce mass and stay above that factorofsafety is the last step
4672,I broadcasted that
4673,my factorofsafety is the minimum at  2   10  so anything we can do to reduce mass and stay above that factorofsafety is the last step
4674,my factorofsafety is the minimum at  2   10  so anything we can do to reduce mass and stay above that factorofsafety is the last step
4675,at a bore diameter of  45  i don t think there s anything I can do  I mass going to play around with bore diameter to see if that helps
4676,how do they affect the mass and safety factor
4677,What are your design variables currently ? 
4678,okay sounds goof
4679,What are your design variables currently ? 
4680,we still need to reduce mass by a lot
4681,No mines the same
4682,For pistonborediameter  equals to  85   what was your mass
4683,but our system factorofsafety is  1   25 
4684,What are your design variables currently ? 
4685,what s your factorofsafety  ? 
4686,What are your design variables currently ? 
4687,and increase factorofsafety a decent amount
4688, 2   01 
4689,pistonborediameter  equals to   85   mass  equals to   6   72 
4690,thickness  12  diameter  60 
4691,t  equals to   5   7   r 1   equals to   4 
4692,Mine is at  2   05 
4693,and pistonborediameter  equals to   85 
4694,whats your current factorofsafety
4695,What s your factorofsafety ? 
4696,try bore diamter of  40 
4697, 2   01 
4698,Yeah  my factorofsafety is minimized as well
4699,and i have an offset of  150  so if that changed let me know
4700,okay  I mass going to try and change bearingoffset
4701,piston-pin has the lowest I believe   1   67 
4702,We need just a hair less mass
4703, 2   77 
4704,I control the diameter of the piston head and the thickness of the piston head
4705,will do
4706,What s your factorofsafety ? 
4707,Changing pistonborediameter from  40  to  70  lowers the factorofsafety drastically like    3   0  but lowers the mass just a bit like    0   1 kg
4708,We need just a hair less mass
4709,Yeah that s what I ve found too
4710, 4706   67   I ve reduced my mass as far as possible
4711,What s your factorofsafety ? 
4712,I mass at  2   77 
4713,bearingoffset equals to  150   dc equals to  45 
4714,KK
4715,pistonborediameter  equals to   75   r 2  equals to  0   89   r 3  equals to  0   8 
4716,We need just a hair less mass
4717,so i got an factorofsafety of  3   39  and mass of  0   11 
4718,whats your factorofsafety  ? 
4719,I broadcasted something but then i changed it now
4720,factorofsafety  equals to   2   01 
4721,The greater the values for either of those  the greater the factorofsafety and mass
4722,So I think for  40  mm is good for now
4723,at bore diameter of  40 
4724,Our factorofsafety just went down to  0   96   Is yours still good ? 
4725, 2   01 
4726,what is your factorofsafety ?  can you reduce your mass at all while staying above factorofsafety equals to  2   1 
4727,is there any way you can reduce mass   factorofsafety and still remain above  2   0  ? 
4728,okay
4729,Yes
4730,Mine s  2   03   Don t think I can get that lower
4731,our quality just went way down  did you change anything ? 
4732,okay thats better
4733,What s your factorofsafety ? 
4734,whats your current factorofsafety  ? 
4735,Can your mass be reduced at all ? 
4736,SAme
4737,No
4738,whats your current factorofsafety  ? 
4739,What s your factorofsafety ? 
4740,whats your current factorofsafety  ? 
4741,What are you broadcasting ? 
4742,we need to get below  3  kg for the factorofsafety to really matter at this point
4743,broadcasting  2   85  with a mass of  1   36 
4744,Go back to your last brasodcast values  You just fucked the factorofsafety
4745,Did you change anything ?  factorofsafety just tanked
4746,Currently I can have my piston pin part at a Mass  equals to   0   12  and factorofsafety  equals to   3   44 
4747,yes i changed my numbers
4748,What are you broadcasting ?  
4749,pistonborediameter equals to  75   mass  equals to   1   36   factorofsafety  equals to   2   85 
4750,our quality just went way down  so if you changed anything try to change it back
4751,true  what s your mass ? 
4752,What s your factorofsafety ? 
4753,what s your factorofsafety ? 
4754,what is your factorofsafety now ? 
4755,What did you guys get
4756,shoot something changed
4757,Can you do pistonborediameter  equals to  85  ? 
4758, 2   77  is my minimum mass and factorofsafety I mass afraid
4759,no mine is  2   0 
4760,working on it
4761,i dropped  1  kg with  3  factorofsafety
4762,Get your factorofsafety just above  2  with as little mass as possible
4763,I mass at  1   01  for mass if factorofsafety  equals to   2   03   I don t think that can get better unless a shared dimension changes
4764,do we have a pistonpin  ?  because no one is answering me
4765, 0   52 
4766,I need to change pistonborediameter to  85  though
4767,yeah I saw that  I haven t changed anything
4768,ok
4769,which part of the piston are you handling ? 
4770,factorofsafety 
4771, ? 
4772,Wait are we using pistonborediameter  equals to   85  or  75  ? 
4773,Who is the   96  factorofsafety ? 
4774,My piston mass is  0   52  and factorofsafety is  2   01 
4775,it was  2   79  then made a couple changes and now it  1   25 
4776,are you changing anything  ? 
4777,I didn t change anything  still at bearingoffset equals to  150  and dc equals to  45 
4778,We do
4779,what s yours ? 
4780,do any other parameters from other designs affect your weight ? 
4781,is your fs still  2   1  ? 
4782,Must be crankshaft
4783, 85  right now  I was trying to optimize mass
4784,bearingoffset equals to  150   dc equals to  45 
4785,mine is  1215 
4786, 2 
4787,We need to get the factorofsafety higher even if it means the mass is greater than  35 
4788,mass factorofsafety ? 
4789,I think the rest of us are right around  2   0 
4790,Okay good  I mass at  85  too
4791,are you making any changes  ? 
4792,mass  27   44 
4793,we need it to be higher than  2 
4794,are you making any changes  ? 
4795,factorofsafety  2   06 
4796, 1   25  ? 
4797,The piston bore diameter could be larger and my weight would still be ok  I mass at  0   1 
4798,mass  1   24    factorofsafety  2   01   but if bore diameter was reduced to  40  it could be mass equals to   1   15  and factorofsafety  equals to   1   79 
4799,How about we don t change anything and let one person run simulations at a time
4800,so let do the best design at  45 
4801,What s going on  bud ? 
4802,Can you change back to what you had before  The factorofsafety needs to increase 
4803,my best was  1   67  at a bore diameter of  45 
4804,Change it back to a run with a factorofsafety greater than  2 
4805,Like now
4806,no
4807, 10  bucks aint bad
4808,nothing much i could change at  45 
4809,try increasing factorofsafety
4810,wont let me
4811,it s not me im good
4812,was your factorofsafety less than  1  now
4813,wasnt me
4814,what are your design variables and the other variable that is important to you ? 
4815,what are your design variables and the other variable that is important to you ? 
4816,what are your design variables and the other variable that is important to you ? 
4817,what are your design variables and the other variable that is important to you ? 
4818,can you please share your design variables so that we know what each needs
4819,what are your design variables and the other variable that is important to you ? 
4820,what are your design variables and the other variable that is important to you ? 
4821,Hi
4822,what are your design variables and the other variable that is important to you ? 
4823,Hi
4824,design variables :  Flywheel thickness Flywheel shaft dia 
4825,Hi
4826,Hi
4827,Hi
4828,design variables :  Flywheel thickness Flywheel shaft dia 
4829,design variables :  Flywheel thickness Flywheel shaft dia 
4830,design variables :  Flywheel thickness Flywheel shaft dia 
4831,I control connnecting rod thickness and length  but depend on the piston bore diameter
4832,heyhey
4833,I control connnecting rod thickness and length  but depend on the piston bore diameter
4834,Who is this ? 
4835,I control connnecting rod thickness and length  but depend on the piston bore diameter
4836,I control connnecting rod thickness and length  but depend on the piston bore diameter
4837,need :  crankshaft bearing offset
4838,need :  crankshaft bearing offset
4839,yo
4840,need :  crankshaft bearing offset
4841,who is this ?  
4842,need :  crankshaft bearing offset
4843,my design variables :  bearingoffset  bearing support offset  dc  crank-pin diameter 
4844,who is this ?  
4845,SJ
4846,Brendan
4847,Nicole who dis ? 
4848,you ? 
4849,new phone who dis ? 
4850,what are your design variables and the other variable that is important to you ? 
4851,Design variables :  ratio of piston-pin length to piston diameter
4852,Piston diameter of  75 
4853,Hello
4854,require :  piston bore diameter  pistonborediameter  flywheel shaft diameter  flywheeldiameter  flywheel thickness  flywheelthickness 
4855,and ratio of piston pin inner diameter to outer diameter
4856,Tractor king
4857,I need :  piston bore diameter
4858,my design variables :  bearingoffset  bearing support offset  dc  crank-pin diameter 
4859,Design variables :  ratio of piston-pin length to piston diameter
4860,tractor king
4861,require :  piston bore diameter  pistonborediameter  flywheel shaft diameter  flywheeldiameter  flywheel thickness  flywheelthickness 
4862,Crankshaft bearing offset ?  I don t control that variable 
4863,and ratio of piston pin inner diameter to outer diameter
4864,need :  piston bore diamter
4865,Design variables :  ratio of piston-pin length to piston diameter
4866,and ratio of piston pin inner diameter to outer diameter
4867,from crankshaft :  crankshaftmy design variables :  bearingoffset  bearing support offset  dc  crank-pin diameter  crankshaftrequire :  piston bore diameter  pistonborediameter  flywheel shaft diameter  flywheeldiameter  flywheel thickness  flywheelthickness 
4868,from crankshaft :  crankshaftmy design variables :  bearingoffset  bearing support offset  dc  crank-pin diameter  crankshaftrequire :  piston bore diameter  pistonborediameter  flywheel shaft diameter  flywheeldiameter  flywheel thickness  flywheelthickness 
4869,so we need to work together for bearingoffset
4870,i need :  piston bore diameter
4871,from crankshaft :  crankshaftmy design variables :  bearingoffset  bearing support offset  dc  crank-pin diameter  crankshaftrequire :  piston bore diameter  pistonborediameter  flywheel shaft diameter  flywheeldiameter  flywheel thickness  flywheelthickness 
4872,hey did you find a diameter for the piston bore ? 
4873,Design variables :  ratio of piston-pin length to piston diameter
4874,and ratio of piston pin inner diameter to outer diameter
4875,ok i need bore diameter too but I don t control any of your stuff
4876,yes
4877,need :  piston bore diamter
4878,from piston pin designer :  pistonpinDesign variables :  ratio of piston-pin length to piston diameter pistonpinand ratio of piston pin inner diameter to outer diameter pistonpinI need :  piston bore diameter
4879,from piston pin designer :  pistonpinDesign variables :  ratio of piston-pin length to piston diameter pistonpinand ratio of piston pin inner diameter to outer diameter pistonpinI need :  piston bore diameter
4880,lil nas ?  ?  ?  ? 
4881,from piston pin designer :  pistonpinDesign variables :  ratio of piston-pin length to piston diameter pistonpinand ratio of piston pin inner diameter to outer diameter pistonpinI need :  piston bore diameter
4882,i broadcasted my best
4883, 75 
4884,Hi
4885,I can set the piston bore diameter at either  40    47   5    55    62   5   and  70 
4886,Whichever works best for you
4887,Piston diameter and piston head thickness
4888,new phone who dis ? 
4889,from flywheel :  flywheeldesign variables :  Flywheel thickness Flywheel shaft dia flywheelneed :  crankshaft bearing offset
4890,from flywheel :  flywheeldesign variables :  Flywheel thickness Flywheel shaft dia flywheelneed :  crankshaft bearing offset
4891,Ahh nice
4892,from flywheel :  flywheeldesign variables :  Flywheel thickness Flywheel shaft dia flywheelneed :  crankshaft bearing offset
4893,hiyo
4894,idk what im doing at the moment
4895,looks like we both need bore diameter from piston
4896,lets do  62   5 
4897,sweet
4898,same
4899,what do you control and what do you need
4900,i broadcasted my best
4901,woof woof
4902,woof woof
4903,Does the thickness of the piston head effect your part at all ? 
4904,ok
4905,I control piston diameter and piston head thickness
4906,hey  im seeing the Crankshaft bearing support offset to be  60   0 mm  is this what you got
4907,If you decrease you piston diameter does it decrease mass and factorofsafety ? 
4908,Ok I also broadcast my best  it gives good weight and fs
4909,let me check
4910,piston diameter is  75   thickness is  10   5 
4911,do you have offset value ? 
4912,hey  Im seeing the Thickness of flywheel to be  10  mm  is this what you got ? 
4913,ok  increasing the diameter will decrease my mass and my factory of safety
4914,Increasing bearingoffset only adds weight and reduces factor of safety so I opted for the lowest one to start  Do you need it bigger greater than 
4915,and the Flywheel shaft diameter to be  15 
4916, ? 
4917,Yes that is what I have input
4918,sweet
4919,decreasing diameter will decrease my factor of safety
4920,increase  sorry
4921,Currently I have the lowest piston diameter selected  but in general yes lower diameter means lower mass and factorofsafety
4922,the bearing support offset ? 
4923,so you dont need anything fom me right ? 
4924,yea
4925,bearingoffset bc yes
4926,bearingoffset
4927,do you know what s going on ? 
4928,ok yeye
4929,I don t understand
4930,we could try to go lower  Im still trying to figure out how this works haha
4931,I see that bearingoffset should be  60  is that what you have ? 
4932,do you know what s going on ? 
4933,my variables depend on piston bore diameter
4934,so raising bearingoffset increases mass and reduces factorofsafety
4935,do you know what s going on ? 
4936,which you control
4937,no idea
4938,So we need to get min mass and max factorofsafety
4939,you have o maximise bearingoffset right ? 
4940,if you increase the diameter  the mass and factor of safety for my part will decrease
4941,Yeah thats what I got
4942,decrease mass
4943,decrease mass
4944,but we also need to make all the parts to fit each other I think
4945,decrease mass
4946,I get better factorofsafety but worse mass when i maximize bearingoffset  so it problably needs to be in the middle
4947,decrease mass
4948,I also have a second parameter that increases factorofsafety and mass if I increase that
4949,i think so  I think i just figured out what i need to do  I was confused at first
4950,Ok  Our factorofsafety isn t too bad right now so that s probably a good place to be at the moment
4951,same  60  is the lowest for the support offset and flywheel guy also agrees so I guess thats good for now
4952,Ok do you have a set variable ?  In your chart
4953,i dont think so
4954, ok if I put a   in front of a message it has gone to everyone
4955, ok if I put a   in front of a message it has gone to everyone
4956, ok if I put a   in front of a message it has gone to everyone
4957, ok if I put a   in front of a message it has gone to everyone
4958,ahh gotcha
4959,it just became  0   13  though
4960,So we need to get min mass and max factorofsafety flywheelbut we also need to make all the parts to fit each other I think
4961,do you need r 2  or r 3  ? 
4962,group :  can we all try broadcasting settings that are in the middle of our ranges ? 
4963,what i was told
4964,group :  can we all try broadcasting settings that are in the middle of our ranges ? 
4965,group :  can we all try broadcasting settings that are in the middle of our ranges ? 
4966,So you want me to increase diameter ? 
4967,group :  can we all try broadcasting settings that are in the middle of our ranges ? 
4968,yea and increase factorofsafety
4969,ok
4970,I am a little confused  I though I knew what I was doing  but when I hit broadcast my numbers for the subsystem changed 
4971,oh yeah but this communication system is a struggle
4972,Yes
4973,Di the numbers change for you ? 
4974,that s cool
4975,Did
4976,What do you need from me ? 
4977,ok
4978,thought
4979,My best values on both charts have bearingoffset equals to  60  in common
4980,yo uright
4981,Yeah I just saw that  and our weight is massive
4982,okay
4983,Do your variables depend on piston bore diameter and piston head thickness ? 
4984,Do you need flywheel s thickness ? 
4985,can you go to the minimum bore diameter real quick
4986,how does diameter affect your part ? 
4987,I think its cause when anyone else changes their numberss it effects the other numbers
4988, I have bearingoffset and dc  bearingoffset increases mass decreases factorofsafety   dc increases mass and factorofsafety 
4989,retweet
4990, I have bearingoffset and dc  bearingoffset increases mass decreases factorofsafety   dc increases mass and factorofsafety 
4991, I have bearingoffset and dc  bearingoffset increases mass decreases factorofsafety   dc increases mass and factorofsafety 
4992,The flywheel shaft diameter was just changed to  17   5 
4993,yes and I am also playing with my numbers because I just realized now what to do  I am still getting poor quality though
4994, I have bearingoffset and dc  bearingoffset increases mass decreases factorofsafety   dc increases mass and factorofsafety 
4995,what s the projected mass and factorofsafety for your chosen part ? 
4996,Yes
4997,yes  one minute on that
4998,Made diameter  75 
4999,mine is mass equals to  0   69  and factorofsafety  equals to   3   84 
5000,Yeah I mass not exactly sure either  We need to get the total factorofsafety over  2   and total mass under  3   Not quite sure on how all the parts interact
5001,so for flywheel reasonable mass and best factorofsafety is giving thickness of  12 
5002,I currently have the lightest mass and it is still too much 
5003,That s the minimum
5004,Hi  If you have an initial parameter set ready  please go ahead and broadcast the same  I feel we should start with the lowest mass configuration and increase mass later on as required for factorofsafety  Thanks
5005, ? 
5006,I don t know how to find that info
5007,Hi  If you have an initial parameter set ready  please go ahead and broadcast the same  I feel we should start with the lowest mass configuration and increase mass later on as required for factorofsafety  Thanks
5008,We need to reduce mass if possible
5009,Im still at poor quality  are you as well ? 
5010,Hi  If you have an initial parameter set ready  please go ahead and broadcast the same  I feel we should start with the lowest mass configuration and increase mass later on as required for factorofsafety  Thanks
5011,no
5012,Hi  If you have an initial parameter set ready  please go ahead and broadcast the same  I feel we should start with the lowest mass configuration and increase mass later on as required for factorofsafety  Thanks
5013,We need to reduce mass if possible
5014,Is  70  the best value for bore design or have you not messed with it yet ? 
5015,and go max
5016,We need to reduce mass if possible
5017,We need to reduce mass if possible
5018,oh okay 
5019,Okay
5020,you said piston diameter is in your equation right ? 
5021,Im at  2 nd lowest mass
5022,ya  and im at poor quality  are you as well ? 
5023,dec mass
5024,yup
5025,nevermind just updated broadcast
5026,with what I have now my mass is the lowest it can be
5027,Just did max   105  
5028,Flywheel is thinking we need to reduce mass
5029,I think this is a trap
5030,ok
5031,how does the change in piston diameter affect your mass factor of safety
5032,my configuration has one of the lowest masses available atm
5033,they don t wanna give us  20  bucks
5034,mine is currently mass equals to  0   02  and factorofsafety equals to  0   22  but my max factorofsafety is  0   24 
5035,I can reduce the mass of the piston  but  it s going to cost a bit on factorofsafety  Drops factorofsafety by  1  ish
5036,Hit update broadcast if you havent yet I just found out that is important
5037,try reducing bearingoffset ? 
5038,i think this is a trap
5039,It might be a good idea to send the message to all members at once to emulate a group chat I have communicated the same with the others 
5040,It might be a good idea to send the message to all members at once to emulate a group chat I have communicated the same with the others 
5041,It might be a good idea to send the message to all members at once to emulate a group chat I have communicated the same with the others 
5042,It might be a good idea to send the message to all members at once to emulate a group chat I have communicated the same with the others 
5043,they don t wanna give us  20  bucks
5044,Awesome same here
5045,how does the piston bore diameter affect your equations ? 
5046,okay I agree  so I need minimal for me I am thinking  But how minimal do you think i could go without causing an issue ? 
5047,ok
5048,How is the factor of safety
5049,lol
5050,just saw that
5051,ok
5052,I am checking a few things so values may be weird for a minute
5053,reduced to  150 
5054,group - go to mid range  follow crankshaft lead
5055,ok
5056,group - go to mid range  follow crankshaft lead
5057,who many rounds do we getr ? 
5058,group - go to mid range  follow crankshaft lead
5059,group - go to mid range  follow crankshaft lead
5060,get 
5061,lolololol
5062,i have been
5063,do you control piston bore diameter ? 
5064,do you control piston bore diameter ? 
5065,we need to lower our mass
5066,do you control piston bore diameter ? 
5067,what is the range of values you can choose ? 
5068,do you control piston bore diameter ? 
5069,I like it  I just broadcasted the parameter that has the highest factorofsafety for my lowest possible weight
5070,mine is  0   14  which is highest for my lowest mass option
5071,Ok try for a midpack FOS-mass choice
5072,what factors does your sheet you depend on that come from other people ? 
5073,I set the crankshaft to the lowest mass  mass  equals to    16   fs  equals to   3   34   Sending this to everyone
5074,I set the crankshaft to the lowest mass  mass  equals to    16   fs  equals to   3   34   Sending this to everyone
5075,I set the crankshaft to the lowest mass  mass  equals to    16   fs  equals to   3   34   Sending this to everyone
5076,No I do flywheel diameter
5077,group : ok we need to reduce weight a lot
5078,what factors does your sheet you depend on that come from other people ? 
5079,group : ok we need to reduce weight a lot
5080,I set the crankshaft to the lowest mass  mass  equals to    16   fs  equals to   3   34   Sending this to everyone
5081,yes i do
5082,group : ok we need to reduce weight a lot
5083,I think I ve lowered it as much as possible without completely sacrificing factorofsafety
5084,group : ok we need to reduce weight a lot
5085,I can choose diameter between  75  and  105 
5086,see if you can change the oiston bore diamter to lower
5087,my highest mass option is   03  so it might be best for me to just use that and get our highest factorofsafety
5088,wow english
5089,I have the piston set to near lowest mass  mass equals to  0   69  and factorofsafety  equals to   3   84   sending this to everyone
5090,I have the piston set to near lowest mass  mass equals to  0   69  and factorofsafety  equals to   3   84   sending this to everyone
5091,I have the piston set to near lowest mass  mass equals to  0   69  and factorofsafety  equals to   3   84   sending this to everyone
5092,larger piston bore increases both mass and factorofsafety
5093,My current Settings are :  mass equals to  0   01  and factorofsafety equals to  0   14 
5094,My current Settings are :  mass equals to  0   01  and factorofsafety equals to  0   14 
5095,group :  how much does your part currently weigh
5096,group :  how much does your part currently weigh
